Binding_domain	Class_number	Description
chr6_domain_15	4	Bivalent
chr6_domain_16	4	Bivalent
chr6_domain_17	5	K27_Repressed_1
chr6_domain_18	1	Active_3
chr6_domain_19	4	Bivalent
chr6_domain_20	3	Active_2
chr6_domain_21	3	Active_2
chr6_domain_22	8	Repressed
chr6_domain_23	9	Low_signal
chr6_domain_24	7	Heterochromatin
chr6_domain_25	6	K27_Repressed_2
chr6_domain_26	3	Active_2
chr6_domain_27	9	Low_signal
chr6_domain_28	4	Bivalent
chr6_domain_29	1	Active_3
chr6_domain_30	3	Active_2
chr8_domain_1	1	Active_3
chr8_domain_2	7	Heterochromatin
chr8_domain_3	5	K27_Repressed_1
chr8_domain_4	4	Bivalent
chr8_domain_5	8	Repressed
chr8_domain_6	9	Low_signal
chr8_domain_7	9	Low_signal
chr8_domain_8	3	Active_2
chr8_domain_9	9	Low_signal
chr8_domain_10	7	Heterochromatin
chr8_domain_11	3	Active_2
chr8_domain_12	9	Low_signal
chr8_domain_13	4	Bivalent
chr8_domain_14	4	Bivalent
chr8_domain_15	6	K27_Repressed_2
chr8_domain_16	3	Active_2
chr8_domain_17	8	Repressed
chr8_domain_18	5	K27_Repressed_1
chr8_domain_19	9	Low_signal
chr8_domain_20	4	Bivalent
chr8_domain_21	1	Active_3
chr8_domain_22	6	K27_Repressed_2
chr8_domain_23	1	Active_3
chr8_domain_24	1	Active_3
chr8_domain_25	1	Active_3
chr8_domain_26	5	K27_Repressed_1
chr8_domain_27	7	Heterochromatin
chr8_domain_28	5	K27_Repressed_1
chr8_domain_29	8	Repressed
chr8_domain_30	6	K27_Repressed_2
chr10_domain_1	3	Active_2
chr10_domain_2	4	Bivalent
chr10_domain_3	9	Low_signal
chr10_domain_4	3	Active_2
chr10_domain_5	8	Repressed
chr10_domain_6	9	Low_signal
chr10_domain_7	7	Heterochromatin
chr10_domain_8	9	Low_signal
chr10_domain_9	8	Repressed
chr10_domain_10	7	Heterochromatin
chr10_domain_11	6	K27_Repressed_2
chr10_domain_12	1	Active_3
chr10_domain_13	9	Low_signal
chr10_domain_14	3	Active_2
chr10_domain_15	1	Active_3
chr10_domain_16	5	K27_Repressed_1
chr10_domain_17	5	K27_Repressed_1
chr10_domain_18	4	Bivalent
chr10_domain_19	7	Heterochromatin
chr10_domain_20	4	Bivalent
chr10_domain_21	3	Active_2
chr10_domain_22	5	K27_Repressed_1
chr10_domain_23	8	Repressed
chr10_domain_24	9	Low_signal
chr10_domain_25	4	Bivalent
chr10_domain_26	9	Low_signal
chr10_domain_27	4	Bivalent
chr10_domain_28	9	Low_signal
chr10_domain_29	4	Bivalent
chr10_domain_30	9	Low_signal
chr12_domain_1	9	Low_signal
chr12_domain_2	4	Bivalent
chr12_domain_3	6	K27_Repressed_2
chr12_domain_4	4	Bivalent
chr12_domain_5	8	Repressed
chr12_domain_6	4	Bivalent
chr12_domain_7	3	Active_2
chr12_domain_8	7	Heterochromatin
chr12_domain_9	4	Bivalent
chr12_domain_10	5	K27_Repressed_1
chr12_domain_11	8	Repressed
chr12_domain_12	5	K27_Repressed_1
chr12_domain_13	7	Heterochromatin
chr12_domain_14	9	Low_signal
chr12_domain_15	5	K27_Repressed_1
chr12_domain_16	1	Active_3
chr12_domain_17	4	Bivalent
chr12_domain_18	4	Bivalent
chr12_domain_19	4	Bivalent
chr12_domain_20	6	K27_Repressed_2
chr12_domain_21	8	Repressed
chr12_domain_22	1	Active_3
chr12_domain_23	8	Repressed
chr12_domain_24	3	Active_2
chr12_domain_25	1	Active_3
chr12_domain_26	1	Active_3
chr12_domain_27	5	K27_Repressed_1
chr12_domain_28	6	K27_Repressed_2
chr12_domain_29	1	Active_3
chr12_domain_30	5	K27_Repressed_1
chr14_domain_1	4	Bivalent
chr14_domain_2	8	Repressed
chr14_domain_3	5	K27_Repressed_1
chr14_domain_4	6	K27_Repressed_2
chr14_domain_5	3	Active_2
chr14_domain_6	9	Low_signal
chr14_domain_7	4	Bivalent
chr14_domain_8	9	Low_signal
chr14_domain_9	4	Bivalent
chr14_domain_10	4	Bivalent
chr14_domain_11	9	Low_signal
chr14_domain_12	3	Active_2
chr14_domain_13	1	Active_3
chr14_domain_14	9	Low_signal
chr14_domain_15	9	Low_signal
chr14_domain_16	3	Active_2
chr14_domain_17	6	K27_Repressed_2
chr14_domain_18	8	Repressed
chr14_domain_19	5	K27_Repressed_1
chr14_domain_20	8	Repressed
chr14_domain_21	2	Active_1
chr14_domain_22	7	Heterochromatin
chr14_domain_23	5	K27_Repressed_1
chr14_domain_24	5	K27_Repressed_1
chr14_domain_25	8	Repressed
chr14_domain_26	1	Active_3
chr14_domain_27	9	Low_signal
chr14_domain_28	1	Active_3
chr14_domain_29	5	K27_Repressed_1
chr14_domain_30	9	Low_signal
chr16_domain_1	9	Low_signal
chr16_domain_2	5	K27_Repressed_1
chr16_domain_3	1	Active_3
chr16_domain_4	9	Low_signal
chr16_domain_5	4	Bivalent
chr16_domain_6	7	Heterochromatin
chr16_domain_7	4	Bivalent
chr16_domain_8	6	K27_Repressed_2
chr16_domain_9	4	Bivalent
chr16_domain_10	7	Heterochromatin
chr16_domain_11	9	Low_signal
chr16_domain_12	9	Low_signal
chr16_domain_13	9	Low_signal
chr16_domain_14	9	Low_signal
chr16_domain_15	8	Repressed
chr16_domain_16	2	Active_1
chr16_domain_17	9	Low_signal
chr16_domain_18	8	Repressed
chr16_domain_19	2	Active_1
chr16_domain_20	9	Low_signal
chr16_domain_21	4	Bivalent
chr16_domain_22	4	Bivalent
chr16_domain_23	5	K27_Repressed_1
chr16_domain_24	8	Repressed
chr16_domain_25	9	Low_signal
chr16_domain_26	9	Low_signal
chr16_domain_27	7	Heterochromatin
chr16_domain_28	6	K27_Repressed_2
chr16_domain_29	8	Repressed
chr16_domain_30	9	Low_signal
chr18_domain_1	5	K27_Repressed_1
chr18_domain_2	5	K27_Repressed_1
chr18_domain_3	7	Heterochromatin
chr18_domain_4	4	Bivalent
chr18_domain_5	7	Heterochromatin
chr18_domain_6	8	Repressed
chr18_domain_7	6	K27_Repressed_2
chr18_domain_8	2	Active_1
chr18_domain_9	3	Active_2
chr18_domain_10	9	Low_signal
chr18_domain_11	1	Active_3
chr18_domain_12	9	Low_signal
chr18_domain_13	9	Low_signal
chr18_domain_14	4	Bivalent
chr18_domain_15	9	Low_signal
chr18_domain_16	9	Low_signal
chr18_domain_17	1	Active_3
chr18_domain_18	8	Repressed
chr18_domain_19	9	Low_signal
chr18_domain_20	5	K27_Repressed_1
chr18_domain_21	6	K27_Repressed_2
chr18_domain_22	3	Active_2
chr18_domain_23	1	Active_3
chr18_domain_24	5	K27_Repressed_1
chr18_domain_25	8	Repressed
chr18_domain_26	4	Bivalent
chr18_domain_27	1	Active_3
chr18_domain_28	5	K27_Repressed_1
chr18_domain_29	1	Active_3
chr18_domain_30	6	K27_Repressed_2
chr20_domain_1	6	K27_Repressed_2
chr20_domain_2	4	Bivalent
chr20_domain_3	4	Bivalent
chr20_domain_4	2	Active_1
chr20_domain_5	7	Heterochromatin
chr20_domain_6	2	Active_1
chr20_domain_7	7	Heterochromatin
chr20_domain_8	6	K27_Repressed_2
chr20_domain_9	3	Active_2
chr20_domain_10	7	Heterochromatin
chr20_domain_11	2	Active_1
chr20_domain_12	9	Low_signal
chr20_domain_13	4	Bivalent
chr20_domain_14	7	Heterochromatin
chr20_domain_15	8	Repressed
chr20_domain_16	1	Active_3
chr20_domain_17	4	Bivalent
chr20_domain_18	8	Repressed
chr20_domain_19	4	Bivalent
chr20_domain_20	5	K27_Repressed_1
chr20_domain_21	1	Active_3
chr20_domain_22	6	K27_Repressed_2
chr20_domain_23	4	Bivalent
chr20_domain_24	5	K27_Repressed_1
chr20_domain_25	3	Active_2
chr20_domain_26	7	Heterochromatin
chr20_domain_27	6	K27_Repressed_2
chr20_domain_28	5	K27_Repressed_1
chr20_domain_29	5	K27_Repressed_1
chr20_domain_30	7	Heterochromatin
chr22_domain_1	7	Heterochromatin
chr22_domain_2	9	Low_signal
chr22_domain_3	9	Low_signal
chr22_domain_4	9	Low_signal
chr22_domain_5	2	Active_1
chr22_domain_6	9	Low_signal
chr22_domain_7	9	Low_signal
chr22_domain_8	1	Active_3
chr22_domain_9	5	K27_Repressed_1
chr22_domain_10	7	Heterochromatin
chr22_domain_11	6	K27_Repressed_2
chr22_domain_12	7	Heterochromatin
chr22_domain_13	9	Low_signal
chr22_domain_14	9	Low_signal
chr22_domain_15	7	Heterochromatin
chr22_domain_16	5	K27_Repressed_1
chr22_domain_17	5	K27_Repressed_1
chr22_domain_18	9	Low_signal
chr22_domain_19	4	Bivalent
chr22_domain_20	9	Low_signal
chr22_domain_21	6	K27_Repressed_2
chr22_domain_22	9	Low_signal
chr22_domain_23	7	Heterochromatin
chr22_domain_24	9	Low_signal
chr22_domain_25	6	K27_Repressed_2
chr22_domain_26	9	Low_signal
chr22_domain_27	9	Low_signal
chr22_domain_28	9	Low_signal
chr22_domain_29	9	Low_signal
chr22_domain_30	9	Low_signal
